Skill,Category,Mapped Category
data quality assessment,General Knowledge,Data & Analytics
data science,General Knowledge,Data & Analytics
data storage,General Knowledge,Data & Analytics
data warehouse,General Knowledge,Data & Analytics
database,Tool/Software,data storage
database development tools,General Knowledge,Data & Analytics
database management systems,General Knowledge,Data & Analytics
database quality standards,General Knowledge,Data & Analytics
DB2,Tool/Software,data storage
debugging tools,General Knowledge,Programming Concepts
decentralized application frameworks,General Knowledge,Other
decision support systems,General Knowledge,Other
deep learning,General Knowledge,AI & Machine Learning
design thinking,General Knowledge,Design & UX
DevOps,General Knowledge,Other
digital data processing,General Knowledge,Data & Analytics
digital game genres,General Knowledge,Other
digital image processing,General Knowledge,Other
digital marketing techniques,General Knowledge,Business & Marketing
digital systems,General Knowledge,Other
digital twin technology,General Knowledge,Other
DigitalOcean,Tool/Software,cloud technologies
direct inward dialing,General Knowledge,Other
distributed computing,General Knowledge,Other
distributed directory information services,General Knowledge,Other
Django,Tool/Software,web programming
Docker,Tool/Software,tools for software configuration management
documentation types,General Knowledge,Other
Domo,Tool/Software,data analytics
Eclipse,Tool/Software,integrated development environment software
electrical engineering,General Knowledge,Engineering
electromagnetism,General Knowledge,Other
electronics principles,General Knowledge,Engineering
embedded systems,General Knowledge,Other
emergent technologies,General Knowledge,Other
Emmet,Tool/Software,web programming
encryption,General Knowledge,Security
engineering control theory,General Knowledge,Engineering
engineering principles,General Knowledge,Engineering
engineering processes,General Knowledge,Engineering
environmental policies,General Knowledge,Other
Erlang,Tool/Software,computer programming
ESLint,Tool/Software,debugging tools
ethical hacking principles,General Knowledge,Security
ethics,General Knowledge,Other
Express.js,Tool/Software,web programming
Figma,Tool/Software,graphics editor software
Filemaker,Tool/Software,database management systems
Firebase,Tool/Software,cloud technologies
Flask,Tool/Software,web programming
Flutter,Tool/Software,web programming
Git,Tool/Software,tools for software configuration management
GitHub,Tool/Software,tools for software configuration management
GitLab,Tool/Software,tools for software configuration management
Google Cloud Platform,Tool/Software,cloud technologies
Google Data Studio,Tool/Software,data analytics
Gradle,Tool/Software,tools for software configuration management
Grafana,Tool/Software,data analytics
graphics editor software,General Knowledge,Other
GraphQL,Tool/Software,query languages
Groovy,Tool/Software,computer programming
gRPC,Tool/Software,query languages
Gtmetrix,Tool/Software,data analytics
Hadoop,Tool/Software,data storage
hardware architectures,General Knowledge,Other
hardware components,General Knowledge,Other
hardware components suppliers,General Knowledge,Other
hardware platforms,General Knowledge,Other
